LineItem,Amount,Time,ReportType
,0.0,18992,ProfitAndLoss
,0.0,18992,ProfitAndLoss
,215.0,18992,ProfitAndLoss
,-12.0,18992,ProfitAndLoss
,5036442.0,18992,ProfitAndLoss
,5036645.0,18992,ProfitAndLoss
,0.0,18992,ProfitAndLoss
,-65.0,18992,ProfitAndLoss
,0.0,18992,ProfitAndLoss
,-65.0,18992,ProfitAndLoss
,5036710.0,18992,ProfitAndLoss
,0.0,18992,ProfitAndLoss
,0.0,18992,ProfitAndLoss
,72.0,18992,ProfitAndLoss
,0.0,18992,ProfitAndLoss
,100.0,18992,ProfitAndLoss
,100.0,18992,ProfitAndLoss
,172.0,18992,ProfitAndLoss
,5036538.0,18992,ProfitAndLoss
,0.0,18992,ProfitAndLoss
,7000.0,18992,ProfitAndLoss
,0.0,18992,ProfitAndLoss
,50.0,18992,ProfitAndLoss
,50.0,18992,ProfitAndLoss
,7050.0,18992,ProfitAndLoss
,-7050.0,18992,ProfitAndLoss
,5029488.0,18992,ProfitAndLoss
,0.0,19357,ProfitAndLoss
,-19580.0,19357,ProfitAndLoss
,150.0,19357,ProfitAndLoss
,22232.0,19357,ProfitAndLoss
,21584.0,19357,ProfitAndLoss
,27692.59,19357,ProfitAndLoss
,52078.59,19357,ProfitAndLoss
,0.0,19357,ProfitAndLoss
,15810.09,19357,ProfitAndLoss
,320.0,19357,ProfitAndLoss
,-52.0,19357,ProfitAndLoss
,16078.09,19357,ProfitAndLoss
,36000.5,19357,ProfitAndLoss
,0.0,19357,ProfitAndLoss
,24920.1,19357,ProfitAndLoss
,24159.13,19357,ProfitAndLoss
,69249.38,19357,ProfitAndLoss
,8569.8,19357,ProfitAndLoss
,15600.6,19357,ProfitAndLoss
,10516.35,19357,ProfitAndLoss
,34958.67,19357,ProfitAndLoss
,9073.82,19357,ProfitAndLoss
,8704.04,19357,ProfitAndLoss
,23851.02,19357,ProfitAndLoss
,1971.07,19357,ProfitAndLoss
,12339.07,19357,ProfitAndLoss
,16161.44,19357,ProfitAndLoss
,3363.75,19357,ProfitAndLoss
,66390.39,19357,ProfitAndLoss
,4748.08,19357,ProfitAndLoss
,10595.09,19357,ProfitAndLoss
,11006.57,19357,ProfitAndLoss
,9887.64,19357,ProfitAndLoss
,8571.82,19357,ProfitAndLoss
,15403.5,19357,ProfitAndLoss
,46845.15,19357,ProfitAndLoss
,91714.68,19357,ProfitAndLoss
,2262.27,19357,ProfitAndLoss
,15479.5,19357,ProfitAndLoss
,13310.1,19357,ProfitAndLoss
,275.46,19357,ProfitAndLoss
,31327.33,19357,ProfitAndLoss
,6354.21,19357,ProfitAndLoss
,11592.31,19357,ProfitAndLoss
,5252.08,19357,ProfitAndLoss
,23198.6,19357,ProfitAndLoss
,11444.04,19357,ProfitAndLoss
,48489456.0,19357,ProfitAndLoss
,1500.0,19357,ProfitAndLoss
,29086.0,19357,ProfitAndLoss
,30586.0,19357,ProfitAndLoss
,200.0,19357,ProfitAndLoss
,0.0,19357,ProfitAndLoss
,-250.3,19357,ProfitAndLoss
,-250.3,19357,ProfitAndLoss
,20.0,19357,ProfitAndLoss
,20.0,19357,ProfitAndLoss
,0.0,19357,ProfitAndLoss
,100892.0,19357,ProfitAndLoss
,100892.0,19357,ProfitAndLoss
,200.0,19357,ProfitAndLoss
,49057589.76,19357,ProfitAndLoss
,-49021589.26,19357,ProfitAndLoss
,0.0,19357,ProfitAndLoss
,-100.0,19357,ProfitAndLoss
,-100.0,19357,ProfitAndLoss
,0.0,19357,ProfitAndLoss
,10.0,19357,ProfitAndLoss
,-699.0,19357,ProfitAndLoss
,0.0,19357,ProfitAndLoss
,2725.0,19357,ProfitAndLoss
,2725.0,19357,ProfitAndLoss
,2036.0,19357,ProfitAndLoss
,-2136.0,19357,ProfitAndLoss
,-49023725.26,19357,ProfitAndLoss
,0.0,19722,ProfitAndLoss
,-96.0,19722,ProfitAndLoss
,-96.0,19722,ProfitAndLoss
,0.0,19722,ProfitAndLoss
,-8188.71,19722,ProfitAndLoss
,-8188.71,19722,ProfitAndLoss
,8092.71,19722,ProfitAndLoss
,0.0,19722,ProfitAndLoss
,0.0,19722,ProfitAndLoss
,0.0,19722,ProfitAndLoss
,8092.71,19722,ProfitAndLoss
,8092.71,19722,ProfitAndLoss
,0.0,18992,BalanceSheet
,0.0,18992,BalanceSheet
,0.0,18992,BalanceSheet
,-162.0,18992,BalanceSheet
,-5011926.0,18992,BalanceSheet
,60.0,18992,BalanceSheet
,-1000.0,18992,BalanceSheet
,-5013028.0,18992,BalanceSheet
,0.0,18992,BalanceSheet
,5022940.0,18992,BalanceSheet
,5022940.0,18992,BalanceSheet
,0.0,18992,BalanceSheet
,0.0,18992,BalanceSheet
,16417.0,18992,BalanceSheet
,265.0,18992,BalanceSheet
,16682.0,18992,BalanceSheet
,26594.0,18992,BalanceSheet
,0.0,18992,BalanceSheet
,-47.0,18992,BalanceSheet
,-47.0,18992,BalanceSheet
,26547.0,18992,BalanceSheet
,0.0,18992,BalanceSheet
,0.0,18992,BalanceSheet
,0.0,18992,BalanceSheet
,0.0,18992,BalanceSheet
,7072.0,18992,BalanceSheet
,98.0,18992,BalanceSheet
,23.0,18992,BalanceSheet
,7193.0,18992,BalanceSheet
,0.0,18992,BalanceSheet
,-55.0,18992,BalanceSheet
,-134.0,18992,BalanceSheet
,-2020.0,18992,BalanceSheet
,-2209.0,18992,BalanceSheet
,0.0,18992,BalanceSheet
,0.0,18992,BalanceSheet
,0.0,18992,BalanceSheet
,0.0,18992,BalanceSheet
,4984.0,18992,BalanceSheet
,4984.0,18992,BalanceSheet
,0.0,18992,BalanceSheet
,-47.0,18992,BalanceSheet
,-5007684.0,18992,BalanceSheet
,-194.0,18992,BalanceSheet
,5029488.0,18992,BalanceSheet
,21563.0,18992,BalanceSheet
,26547.0,18992,BalanceSheet
,0.0,19357,BalanceSheet
,0.0,19357,BalanceSheet
,0.0,19357,BalanceSheet
,-2595264.0,19357,BalanceSheet
,4914839.17,19357,BalanceSheet
,400.0,19357,BalanceSheet
,-5108917.0,19357,BalanceSheet
,60.0,19357,BalanceSheet
,1302.0,19357,BalanceSheet
,-15.0,19357,BalanceSheet
,-2787594.83,19357,BalanceSheet
,0.0,19357,BalanceSheet
,63732.15,19357,BalanceSheet
,63732.15,19357,BalanceSheet
,0.0,19357,BalanceSheet
,280.0,19357,BalanceSheet
,4590.0,19357,BalanceSheet
,2479.34,19357,BalanceSheet
,1829.32,19357,BalanceSheet
,9178.66,19357,BalanceSheet
,-2714684.02,19357,BalanceSheet
,0.0,19357,BalanceSheet
,-11258.0,19357,BalanceSheet
,5000.0,19357,BalanceSheet
,-6258.0,19357,BalanceSheet
,0.0,19357,BalanceSheet
,-100.0,19357,BalanceSheet
,-100.0,19357,BalanceSheet
,-2721042.02,19357,BalanceSheet
,0.0,19357,BalanceSheet
,0.0,19357,BalanceSheet
,0.0,19357,BalanceSheet
,0.0,19357,BalanceSheet
,46281961.76,19357,BalanceSheet
,-747.91,19357,BalanceSheet
,0.0,19357,BalanceSheet
,98.0,19357,BalanceSheet
,23.0,19357,BalanceSheet
,46281334.85,19357,BalanceSheet
,0.0,19357,BalanceSheet
,2051.0,19357,BalanceSheet
,30.0,19357,BalanceSheet
,-8856.7,19357,BalanceSheet
,-1980.0,19357,BalanceSheet
,-8755.7,19357,BalanceSheet
,0.0,19357,BalanceSheet
,1410.54,19357,BalanceSheet
,7.55,19357,BalanceSheet
,1418.09,19357,BalanceSheet
,46273997.24,19357,BalanceSheet
,46273997.24,19357,BalanceSheet
,0.0,19357,BalanceSheet
,-47.0,19357,BalanceSheet
,-5000461.0,19357,BalanceSheet
,5029194.0,19357,BalanceSheet
,-49023725.26,19357,BalanceSheet
,-48995039.26,19357,BalanceSheet
,-2721042.02,19357,BalanceSheet
,0.0,19722,BalanceSheet
,0.0,19722,BalanceSheet
,0.0,19722,BalanceSheet
,-2595264.0,19722,BalanceSheet
,4912339.17,19722,BalanceSheet
,400.0,19722,BalanceSheet
,-5108917.0,19722,BalanceSheet
,60.0,19722,BalanceSheet
,1302.0,19722,BalanceSheet
,-15.0,19722,BalanceSheet
,-2790094.83,19722,BalanceSheet
,0.0,19722,BalanceSheet
,63636.15,19722,BalanceSheet
,63636.15,19722,BalanceSheet
,0.0,19722,BalanceSheet
,10.0,19722,BalanceSheet
,280.0,19722,BalanceSheet
,2250.99,19722,BalanceSheet
,2479.34,19722,BalanceSheet
,1829.32,19722,BalanceSheet
,6849.65,19722,BalanceSheet
,-2719609.03,19722,BalanceSheet
,0.0,19722,BalanceSheet
,-11258.0,19722,BalanceSheet
,5000.0,19722,BalanceSheet
,-6258.0,19722,BalanceSheet
,0.0,19722,BalanceSheet
,-100.0,19722,BalanceSheet
,-100.0,19722,BalanceSheet
,-2725967.03,19722,BalanceSheet
,0.0,19722,BalanceSheet
,0.0,19722,BalanceSheet
,0.0,19722,BalanceSheet
,0.0,19722,BalanceSheet
,46269858.76,19722,BalanceSheet
,-1662.63,19722,BalanceSheet
,0.0,19722,BalanceSheet
,98.0,19722,BalanceSheet
,23.0,19722,BalanceSheet
,46268317.13,19722,BalanceSheet
,0.0,19722,BalanceSheet
,2051.0,19722,BalanceSheet
,30.0,19722,BalanceSheet
,-8856.7,19722,BalanceSheet
,-1980.0,19722,BalanceSheet
,-8755.7,19722,BalanceSheet
,0.0,19722,BalanceSheet
,1410.54,19722,BalanceSheet
,7.55,19722,BalanceSheet
,1418.09,19722,BalanceSheet
,46260979.52,19722,BalanceSheet
,46260979.52,19722,BalanceSheet
,0.0,19722,BalanceSheet
,-47.0,19722,BalanceSheet
,-5000461.0,19722,BalanceSheet
,-43994531.26,19722,BalanceSheet
,8092.71,19722,BalanceSheet
,-48986946.55,19722,BalanceSheet
,-2725967.03,19722,BalanceSheet
